103235	delete me
103236	test
103237	test
103238	test
103239	Bolter Combi-Plasma
103240	Combi Plasma
103241	Iron Halo
103242	Munitions: Dragonfire Bolts
103243	Blind Grenades
103244	Blind Grenades
103245	Orbital Bombardment
103246	Increased Frag Grenade Capacity
103247	Iron Halo Powerup
103248	Boost Melee Damage
103249	Melee Protection
103250	Powersword Speed
103251	Boost Ranged Damage
103252	Ranged Protection
103253	Improve Armour Regeneration
103254	Increased Health
103255	Armor Enhancements
103256	Merciless Grind
103257	Fortitude
103258	Grenadier
103259	High-Capacity Magazines
103260	Plasma Optimization
103261	Bolt Weapon Combat Training
103262	Back to the Fight!
103263	Speed Boost
103264	Steady Shot
103265	Tenacity
103266	Chainsword
103267	Chainsword
103268	Power Sword
103269	Power Sword
103270	Power Fist
103271	Bolt Pistol
103272	Force Staff
103273	Thunder Hammer
103274	Bolter
103275	Bolter
103276	Bolter
103277	Bolter Combi-Flamer
103278	Bolter
103279	Bolter Combi-Melta
103280	Frag Grenades
103281	Can be attached to a bolter
103282	Grants a powerful energy shield that may be discharged with incredible force to damage all nearby enemies
103283	Rather than regular bolts, Bolt Weapons now fire superheated ammunition, destroying cover and setting the target ablaze.
103284	Allows the Marine to throw disorienting grenades that temporarily blind and stun everything in their blast.
103285	Allows the Marine to throw disorienting grenades that temporarily blind and stun everything in their blast.
103286	Establishing a direct link with orbiting strike cruisers, the Marine may call in directed energy blasts from their powerful cannons.
103287	You can carry an extra 2 grenades if you equip this perk.
103288	Equip this at the same time that you equip an Iron Halo - it works better!
103289	Increases melee damage when equipped
103290	Decreases received melee damage when equipped
103291	When equipped with a powersword, the powersword will swing faster when power is full
103292	Increases ranged damage when equipped
103293	Decreases received ranged damage when equipped
103294	Reduces the delay from when a hit is taken to when armour begins to regenerate
103295	Increases maximum health when equipped
103296	Increases a Space Marine's total armor significantly.
103297	Allows the Marine to grind even the most powerful of opponents.
103298	Increases a Space Marine's total health significantly.
103299	Doubles the amount of Frag Grenades that can be carried.
103300	Doubles the ammo capacity for all Bolt Weapons.
103301	Drastically increases the recharge rate of Plasma charges, allowing the Marine to fire more frequently.
103302	The Marine has trained heavily with the Bolt Weapons and can reload them at incredible speeds.
103303	The Marine is capable of returning to the battle without help from his battle brothers as long as they are nearby and still fighting.
103304	Increases maximum speed when equipped
103305	Decreases weapon kickback when equipped
103306	When equipped, increases melee damage when health drops below 25%
103307	A ferocious close-combat weapon that attacks quickly and accurately.
103308	A ferocious close-combat weapon that attacks quickly and accurately.
103309	Armor is no protection against the blessed tools of the Emperor's chosen.
103310	Armor is no protection against the blessed tools of the Emperor's chosen.
103311	The Power Fist smites the unworthy, crushing the life from their bodies with lethal energy.
103312	Compact pistol firing self-propelled explosive bolts.
103313	Two-handed Force Staff.
103314	A massive, slow-swinging hammer, able to crush opponents in a single blow.
103315	Rifle firing self-propelled explosive bolts that tear through enemies.
103316	Rifle firing self-propelled explosive bolts that tear through enemies.
103317	Rifle firing self-propelled explosive bolts that tear through enemies.
103318	Attaches a purifying Flame weapon to the Bolter, allowing the Marine to purge enemies in close-medium range with holy fire.
103319	A two-handed Bolt weapon, more powerful than the Bolt Pistol.
103320	Attaches a super-heated Melta weapon to the Bolter, allowing short but immensely powerful attacks that sear enemies apart.
103321	Attaches a powerful Plasma weapon to the Bolter, allowing single plasma shots or highly destructive charged blasts.
103322	Allows the Marine to throw high-explosive grenades.
103323	Enormous, belt-fed version of the Bolter with a tremendous rate of fire.
103324	Heavy Bolter
103325	Bolter Combi-Plasma
103326	Attaches a powerful Plasma weapon to the Bolter, allowing single plasma shots or highly destructive charged blasts.
103327	Bolter
103328	Bolter
103329	Rifle firing self-propelled explosive bolts that tear through enemies.
103330	Rifle firing self-propelled explosive bolts that tear through enemies.
103331	Bolt Pistol
103332	Compact pistol firing self-propelled explosive bolts.
103333	MP Power Sword
103334	Armor is no protection against the blessed tools of the Emperor's chosen.
103335	Chainsword
103336	A ferocious close-combat weapon that attacks quickly and accurately.
103337	Iron Halo
103338	Allows the Space Marine to discharge an incredible blast to damage all nearby enemies (10 second cooldown)
103339	Frag Grenades
103340	Allows the Marine to throw high-explosive grenades.
103343	Plasma Gun
103344	Rifle firing plasma pulses. Supercharged shots add to destructive power.
103345	Autocannon
103346	Firing large calibre, high velocity explosive shells, they are most effective against particularily tough infantry.
103347	Firing large calibre, high velocity explosive shells, they are most effective against particularily tough infantry.
103348	Autocannon
103349	Heavy Bolter
103350	Enormous, belt-fed version of the Bolter with a tremendous rate of fire.
103351	Plasma Gun
103352	Rifle firing plasma pulses. Supercharged shots add to destructive power.
103353	Thunder Hammer
103354	A massive, slow-swinging hammer, able to crush opponents in a single blow.
103355	Bolter
103356	Rifle firing self-propelled explosive bolts that tear through enemies.
103357	lets take the hill
103358	Chainsword
103359	A ferocious close-combat weapon that attacks quickly and accurately.
103360	Blank
103361	Blank
103362	Blank
103363	Blank
103364	Blank
103365	Blank
103366	Blank
103367	Blank
103368	Frag Grenades
103369	Allows the Marine to throw high-explosive grenades (8 second cooldown)
103370	MP Power Sword
103371	Armor is no protection against the blessed tools of the Emperor's chosen..
103372	fewafewa
103373	fewafeaw
103374	Test
103375	No script, this is here for testing only
103376	Random
103377	Push
103378	Hunt & Capture
103379	Left 4 Dead Style
103380	Single linear path, reach the objective and survive for 180 seconds
103381	Split objectives, accomplish both to win
103382	Single linear path, push one point at a time
103383	Random Objectives/Win Conditions
103384	Capture
103385	Capture something somewhere on the map.
103386	No Random Orks
103387	Default objectives, no random NPC Orks
103388	Destroy & Collect
103389	Split objectives, accomplish both to win
103390	Ork Selection Test
103391	Ork Selection restricted, unrestricted as Marines progress
103392	Bolter Attachment: Grenade Launcher
103393	Bolter Attachment: Combi-Plasma
103394	Bolter
103395	Rifle firing self-propelled explosive bolts that tear through enemies.
103396	Chainsword
103397	A ferocious close-combat weapon that attacks quickly and accurately.
103398	Bolter
103399	Rifle firing self-propelled explosive bolts that tear through enemies.
103400	REQUIRES: Bolter
103401	REQUIRES: Bolter
103402	Plasma Attachment: Plasma Blast
103403	REQUIRES: Plasma Gun
103404	Plasma Attachment: Bolter Combi
103405	REQUIRES: Plasma Gun
103406	Survive
103407	Marines win if they survive for 5 minutes
103408	This advanced power unit provides the necessary power to keep a Space Marine's Power Armor operating at peak efficiency.
103409	Astarties-issue Power Pack
103410	Astartes-issue type-12 Jump Pack
103411	A modified power pack that allows a Space Marine to gain valuable air superiority with devastating landing effects.
103412	Objective Based
103413	Marines complete 3 semi-random objectives in a row to win
103414	Objective Based
103415	Marines complete 3 semi-random objectives in a row to win
103416	Random
103417	Totally Random Objectives
103418	Orks On Demand
103419	Default Objectives, no NPC Ork Spawning
103420	Chaos Black
103421	Skull White
103422	0
103423	0
103424	Space Marine Tactical Rank
103425	Ultramarines
103426	SPLORGE
103427	Blood Ravens
103428	Blazing Orange
103429	Blood Raven Red
103430	Dark Angels Green
103431	Hawk Turquoise
103432	Metallic Gold
103433	Metallic Silver
103434	Scorpion Green
103435	2nd Company Yellow
103436	Space Wolves Grey
103437	Test Blue
103438	ultramarines_blue
103439	Warlock Purple
103440	Blood Ravens
103441	Command Squad
103442	Dark Angels 3rd Tactical
103443	Dark Angels
103444	Space Marines Sergeant Red Skull Rank
103445	Capture the enemy point of entry!
103446	Space Marines vs. Chaos
